Paper_ID,Included,Observation_ID ,Author,Year,Title,Journal,DOI,URL,Language,Database,Latitude,Longitude,Country,Taxa_level,Taxa_name,Order,Family,Genus ,Binomial,Life_history_stage,Experimental_year_start,Experimental_year_end,Sampling_method,Sampling_intensity_unit,Sampling_intensity,Biodiversity_metric,Unit,IUCN_threat_category_1,IUCN_threat_category_2,IUCN_threat_category_3,Treatment,Treatment_quantity,Treatment_quantity_unit,Control,Control_quantity,Control_quantity_unit,Extracted_from,Evidence_type,Treatment_N,Treatment_mean,Treatment_error,Treatment_error_type,Control_N,Control_mean,Control_error,Control_error_type,Contributor_name,Search_date,Notes
Haner_2022,Y,Haner_2022_5,"HÃ¤ner, Nina and Amiresmaeili, Nasim and StÃ¤hli, Nadine and Romeis, JÃ¶rg and Collatz, Jana",2022,Overwintering of two pupal parasitoids of Drosophila under natural conditions,Journal of Thermal Biology,10.1016/j.jtherbio.2022.103235,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128807329&doi=10.1016%2fj.jtherbio.2022.103231&partnerID=40&md5=ec0713b33a2840cfc33bb5ce691a7677,English,Scopus,47,9,Switzerland,species,Pachycrepoideus vindemmiae,Hymenoptera,Pteromalidae,Pachycrepoideus,Pachycrepoideus vindemmiae,adult female ,,,,,,Survival,percentage,11 Climate change & severe weather,11.3 Temperature extremes,,Extreme cold,0,C,No extreme cold,22,C,,,120,34,19.5,sd,30,100,0,sd,Emily Wenban-Smith,,
Haner_2022,Y,Haner_2022_4,"HÃ¤ner, Nina and Amiresmaeili, Nasim and StÃ¤hli, Nadine and Romeis, JÃ¶rg and Collatz, Jana",2022,Overwintering of two pupal parasitoids of Drosophila under natural conditions,Journal of Thermal Biology,10.1016/j.jtherbio.2022.103234,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128807329&doi=10.1016%2fj.jtherbio.2022.103231&partnerID=40&md5=ec0713b33a2840cfc33bb5ce691a7676,English,Scopus,47,9,Switzerland,species,Pachycrepoideus vindemmiae,Hymenoptera,Pteromalidae,Pachycrepoideus,Pachycrepoideus vindemmiae,adult female ,,,,,,Survival,percentage,11 Climate change & severe weather,11.3 Temperature extremes,,Extreme cold,0,C,No extreme cold,22,C,,,120,71.3,16.5,sd,30,100,0,sd,Emily Wenban-Smith,,
Zheng_2011,Y,Zheng_2011_91,"Zheng, Xialin and Cheng, Wenjie and Wang, Xiaoping and Lei, Chaoliang",2011,"Enhancement of supercooling capacity and survival by cold acclimation, rapid cold and heat hardening in <i>Spodoptera exigua</i>",CRYOBIOLOGY,10.1016/j.cryobiol.2011.07.095,NA,English,WOS,30,114,China,species ,Spodoptera exigua ,Lepidoptera,Noctuidae,Spodoptera,Spodoptera exigua,L5,,,,,,Survival,percentage,11 Climate change & severe weather,11.3 Temperature extremes,,Extreme cold,-12,C,No extreme cold,26,C,,,90,100,0,se,90,100,0,se,Emily Wenban-Smith,,
Zheng_2011,Y,Zheng_2011_92,"Zheng, Xialin and Cheng, Wenjie and Wang, Xiaoping and Lei, Chaoliang",2011,"Enhancement of supercooling capacity and survival by cold acclimation, rapid cold and heat hardening in <i>Spodoptera exigua</i>",CRYOBIOLOGY,10.1016/j.cryobiol.2011.07.096,NA,English,WOS,30,114,China,species ,Spodoptera exigua ,Lepidoptera,Noctuidae,Spodoptera,Spodoptera exigua,L5,,,,,,Survival,percentage,11 Climate change & severe weather,11.3 Temperature extremes,,Extreme cold,-12,C,No extreme cold,26,C,,,90,83.2,5.74,se,90,100,0,se,Emily Wenban-Smith,,
Zheng_2011,Y,Zheng_2011_93,"Zheng, Xialin and Cheng, Wenjie and Wang, Xiaoping and Lei, Chaoliang",2011,"Enhancement of supercooling capacity and survival by cold acclimation, rapid cold and heat hardening in <i>Spodoptera exigua</i>",CRYOBIOLOGY,10.1016/j.cryobiol.2011.07.097,NA,English,WOS,30,114,China,species,Spodoptera exigua ,Lepidoptera,Noctuidae,Spodoptera,Spodoptera exigua,L5,,,,,,Survival,percentage,11 Climate change & severe weather,11.3 Temperature extremes,,Extreme cold,-12,C,No extreme cold,26,C,,,90,6.15,10.2,se,90,100,0,se,Emily Wenban-Smith,,
Zheng_2011,Y,Zheng_2011_94,"Zheng, Xialin and Cheng, Wenjie and Wang, Xiaoping and Lei, Chaoliang",2011,"Enhancement of supercooling capacity and survival by cold acclimation, rapid cold and heat hardening in <i>Spodoptera exigua</i>",CRYOBIOLOGY,10.1016/j.cryobiol.2011.07.098,NA,English,WOS,30,114,China,species ,Spodoptera exigua ,Lepidoptera,Noctuidae,Spodoptera,Spodoptera exigua,L5,,,,,,Survival,percentage,11 Climate change & severe weather,11.3 Temperature extremes,,Extreme cold,-12,C,No extreme cold,26,C,,,90,0,0,se,90,100,0,se,Emily Wenban-Smith,,
Zheng_2011,Y,Zheng_2011_95,"Zheng, Xialin and Cheng, Wenjie and Wang, Xiaoping and Lei, Chaoliang",2011,"Enhancement of supercooling capacity and survival by cold acclimation, rapid cold and heat hardening in <i>Spodoptera exigua</i>",CRYOBIOLOGY,10.1016/j.cryobiol.2011.07.099,NA,English,WOS,30,114,China,species,Spodoptera exigua ,Lepidoptera,Noctuidae,Spodoptera,Spodoptera exigua,L5,,,,,,Survival,percentage,11 Climate change & severe weather,11.3 Temperature extremes,,Extreme cold,-12,C,No extreme cold,26,C,,,90,0,0,se,90,100,0,se,Emily Wenban-Smith,,
Zheng_2011,Y,Zheng_2011_96,"Zheng, Xialin and Cheng, Wenjie and Wang, Xiaoping and Lei, Chaoliang",2011,"Enhancement of supercooling capacity and survival by cold acclimation, rapid cold and heat hardening in <i>Spodoptera exigua</i>",CRYOBIOLOGY,10.1016/j.cryobiol.2011.07.100,NA,English,WOS,30,114,China,species ,Spodoptera exigua ,Lepidoptera,Noctuidae,Spodoptera,Spodoptera exigua,L5,,,,,,Survival,percentage,11 Climate change & severe weather,11.3 Temperature extremes,,Extreme cold,-12,C,No extreme cold,26,C,,,90,0,0,se,90,100,0,se,Emily Wenban-Smith,,
Zheng_2011,Y,Zheng_2011_97,"Zheng, Xialin and Cheng, Wenjie and Wang, Xiaoping and Lei, Chaoliang",2011,"Enhancement of supercooling capacity and survival by cold acclimation, rapid cold and heat hardening in <i>Spodoptera exigua</i>",CRYOBIOLOGY,10.1016/j.cryobiol.2011.07.101,NA,English,WOS,30,114,China,species,Spodoptera exigua ,Lepidoptera,Noctuidae,Spodoptera,Spodoptera exigua,L5,,,,,,Survival,percentage,11 Climate change & severe weather,11.3 Temperature extremes,,Extreme cold,-12,C,No extreme cold,26,C,,,90,0,0,se,90,100,0,se,Emily Wenban-Smith,,
Zheng_2011,Y,Zheng_2011_98,"Zheng, Xialin and Cheng, Wenjie and Wang, Xiaoping and Lei, Chaoliang",2011,"Enhancement of supercooling capacity and survival by cold acclimation, rapid cold and heat hardening in <i>Spodoptera exigua</i>",CRYOBIOLOGY,10.1016/j.cryobiol.2011.07.102,NA,English,WOS,30,114,China,species ,Spodoptera exigua ,Lepidoptera,Noctuidae,Spodoptera,Spodoptera exigua,L5,,,,,,Survival,percentage,11 Climate change & severe weather,11.3 Temperature extremes,,Extreme cold,-12,C,No extreme cold,26,C,,,90,0,0,se,90,100,0,se,Emily Wenban-Smith,,
